,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1975-D004,Davis Cup AME SF: AUS vs JPN,Grass,,D,19750110,1,100087,,,John Newcombe,R,183,AUS,30.63,100109,,,Jun Kuki,R,,JPN,29.03,6-1 6-2 6-3,5,RR,,,,,,,,,,,,,,,,,,,,2,,101,
1,1975-D004,Davis Cup AME SF: AUS vs JPN,Grass,,D,19750110,2,100149,,,Toshiro Sakai,R,,JPN,27.13,100203,,,Phil Dent,R,183,AUS,24.90,6-1 4-6 2-6 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,171,,41,
2,1975-D004,Davis Cup AME SF: AUS vs JPN,Grass,,D,19750110,4,100087,,,John Newcombe,R,183,AUS,30.63,100149,,,Toshiro Sakai,R,,JPN,27.13,6-4 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,,2,,171,
3,1975-D004,Davis Cup AME SF: AUS vs JPN,Grass,,D,19750110,5,100203,,,Phil Dent,R,183,AUS,24.90,100109,,,Jun Kuki,R,,JPN,29.03,8-6 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,,41,,101,
4,1975-D012,Davis Cup SAM F: CHI vs BRA,,,D,19750110,2,100088,,,Patricio Cornejo,R,180,CHI,30.60,109856,,,Edison Mandarino,U,,BRA,33.79,6-2 7-5 6-4,5,RR,,,,,,,,,,,,,,,,,,,,66,,,
5,1975-D012,Davis Cup SAM F: CHI vs BRA,,,D,19750110,5,100099,,,Thomaz Koch,L,,BRA,29.67,100038,,,Jaime Pinto Bravo,R,,CHI,35.26,6-2 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,,24,,119,
6,1975-301,Auckland,Grass,,A,19750112,1,100135,1,,Onny Parun,R,188,NZL,27.75,110341,,,Jukka Narakka,U,,FIN,,6-1 6-3 3-6 6-1,5,R32,,,,,,,,,,,,,,,,,,,,25,,,
7,1975-301,Auckland,Grass,,A,19750112,2,100226,,,Mike Machette,R,,USA,23.96,100240,,,Joao Soares,R,185,BRA,23.72,6-3 6-4 7-6,5,R32,,,,,,,,,,,,,,,,,,,,210,,274,
8,1975-301,Auckland,Grass,,A,19750112,3,107082,,,Gerard Wimmer,R,,AUT,21.87,109807,,,Garry Slater,R,,NZL,,6-2 6-4 6-3,5,R32,,,,,,,,,,,,,,,,,,,,228,,,
9,1975-301,Auckland,Grass,,A,19750112,4,109808,,,Graham Oliver,U,,NZL,,110241,,,Mike Prineas,U,,USA,,6-0 6-1 6-2,5,R32,,,,,,,,,,,,,,,,,,,,,,,
10,1975-301,Auckland,Grass,,A,19750112,5,100223,,,Jeff Simpson,R,,NZL,24.21,108434,,,Tony Parun P071,R,,NZL,,6-3 7-6 6-3,5,R32,,,,,,,,,,,,,,,,,,,,132,,318,
11,1975-301,Auckland,Grass,,A,19750112,6,100326,,,Russell Simpson,R,188,NZL,20.89,100450,,,Leo Palin,R,178,FIN,18.23,6-3 6-4 6-1,5,R32,,,,,,,,,,,,,,,,,,,,318,,,
12,1975-301,Auckland,Grass,,A,19750112,7,100114,3,,Ray Ruffels,R,,AUS,28.81,100406,,,Greg Halder,R,188,CAN,19.10,6-3 6-0 7-5,5,R32,,,,,,,,,,,,,,,,,,,,76,,,
