,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2003-746,Sao Paulo1 CH,Hard,,C,20021230,1,101897,1,,Fernando Meligeni,L,180,BRA,31.72,104392,,WC,Franco Ferreiro,R,188,BRA,18.50,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,,74,538,915,7
1,2003-746,Sao Paulo1 CH,Hard,,C,20021230,2,103532,,,Ignacio Gonzalez King,R,175,ARG,22.77,104094,,WC,Sergio Bruni,L,,BRA,20.07,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,280,102,1331,1
2,2003-746,Sao Paulo1 CH,Hard,,C,20021230,3,102997,,,Hermes Gamonal,R,180,CHI,25.58,102239,,,Francisco Costa,R,180,BRA,29.51,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,263,109,241,122
3,2003-746,Sao Paulo1 CH,Hard,,C,20021230,4,103587,,,Andres Dellatorre,R,190,ARG,22.48,103052,7,,Mariano Delfino,R,183,ARG,25.28,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,291,98,169,215
4,2003-746,Sao Paulo1 CH,Hard,,C,20021230,5,103672,4,,Ricardo Mello,L,175,BRA,22.02,104568,,WC,Amadeus Fulford Jones,U,,GBR,17.54,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,144,258,1331,1
5,2003-746,Sao Paulo1 CH,Hard,,C,20021230,6,102715,,Q,Ignacio Hirigoyen,R,183,ARG,26.93,103334,,Q,Ronaldo Carvalho,R,,BRA,23.84,7-5 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,343,79,395,62
6,2003-746,Sao Paulo1 CH,Hard,,C,20021230,7,102768,,Q,Federico Browne,R,180,ARG,26.73,102807,,,Rodrigo Monte,R,,BRA,26.54,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,225,133,296,94
7,2003-746,Sao Paulo1 CH,Hard,,C,20021230,8,103525,5,,Ivan Miranda,R,175,PER,22.81,102836,,,Rogier Wassen,R,190,NED,26.39,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,147,252,265,109
8,2003-746,Sao Paulo1 CH,Hard,,C,20021230,9,102585,,,Sebastian Prieto,R,180,ARG,27.62,103397,6,,Alexandre Simoni,R,188,BRA,23.50,7-6(1) 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,,284,101,167,218
9,2003-746,Sao Paulo1 CH,Hard,,C,20021230,10,104122,,Q,Carlos Berlocq,R,183,ARG,19.90,103328,,,Andres Pedroso,R,,USA,23.85,7-5 6-0,3,R32,,,,,,,,,,,,,,,,,,,,297,94,286,101
10,2003-746,Sao Paulo1 CH,Hard,,C,20021230,11,103009,,,Razvan Sabau,R,185,ROU,25.53,103700,,,Juan Pablo Guzman,L,178,ARG,21.92,2-6 7-6(3) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,283,101,209,149
11,2003-746,Sao Paulo1 CH,Hard,,C,20021230,12,103581,3,,Flavio Saretta,R,183,BRA,22.51,103228,,,Marcos Daniel,R,180,BRA,24.49,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,92,438,236,127
12,2003-746,Sao Paulo1 CH,Hard,,C,20021230,13,103373,8,,Sergio Roitman,R,185,ARG,23.62,104499,,,Jimmy Wang,R,178,TPE,17.89,6-4 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,178,201,205,157
13,2003-746,Sao Paulo1 CH,Hard,,C,20021230,14,103395,,,Julio Silva,R,173,BRA,23.50,103544,,,Andy Ram,R,180,ISR,22.72,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,261,110,,
14,2003-746,Sao Paulo1 CH,Hard,,C,20021230,15,103737,,,Edgardo Massa,R,180,ARG,21.77,109047,,WC,Andre Santos,U,,BRA,20.12,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,237,126,1331,1
15,2003-746,Sao Paulo1 CH,Hard,,C,20021230,16,102554,,,Diego Moyano,R,175,ARG,27.80,103632,2,,Luis Horna,R,180,PER,22.29,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,197,171,85,473
16,2003-746,Sao Paulo1 CH,Hard,,C,20021230,17,101897,1,,Fernando Meligeni,L,180,BRA,31.72,103532,,,Ignacio Gonzalez King,R,175,ARG,22.77,6-7(6) 7-6(4) 6-2,3,R16,,,,,,,,,,,,,,,,,,,,74,538,280,102
17,2003-746,Sao Paulo1 CH,Hard,,C,20021230,18,103587,,,Andres Dellatorre,R,190,ARG,22.48,102997,,,Hermes Gamonal,R,180,CHI,25.58,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,,291,98,263,109
18,2003-746,Sao Paulo1 CH,Hard,,C,20021230,19,103672,4,,Ricardo Mello,L,175,BRA,22.02,102715,,Q,Ignacio Hirigoyen,R,183,ARG,26.93,7-6(6) 6-3,3,R16,,,,,,,,,,,,,,,,,,,,144,258,343,79
19,2003-746,Sao Paulo1 CH,Hard,,C,20021230,20,103525,5,,Ivan Miranda,R,175,PER,22.81,102768,,Q,Federico Browne,R,180,ARG,26.73,7-6(2) 7-6(0),3,R16,,,,,,,,,,,,,,,,,,,,147,252,225,133
